Ano;Mês;Distrito;Concelho;Freguesia;Tipo de Lâmpada;Luminárias;Lâmpadas por Luminária;Lâmpadas;Potência Instalada Total (W);CodDistrito;CodDistritoConcelho;coddistritoconcelhofreguesia
2026;5;Vila Real;Vila Real;Vila Real;Mercúrio;10.0;10.0;10.0;970.0;17;1714;171438
2026;5;Vila Real;Vila Real;Vila Real;Sódio;1345.0;1218.0;1345.0;151760.0;17;1714;171438
2026;5;Viseu;Armamar;Armamar;LED;867.0;816.0;866.0;27398.20001602173;18;1801;180120
2026;5;Viseu;Armamar;Armamar;Mercúrio;3.0;3.0;3.0;240.0;18;1801;180120
2026;5;Viseu;Castro daire;Castro Daire;LED;2557.0;2524.0;2569.0;90925.0;18;1803;180304
2026;5;Viseu;Lamego;Várzea de Abrunhais;LED;319.0;317.0;319.0;10546.0;18;1805;180523
2026;5;Vila Real;Mesão Frio;Barqueiros;Outros/Não definido;19.0;19.0;19.0;220.0;17;1704;170401
2026;5;Vila Real;Mesão Frio;Cidadelhe;LED;6.0;6.0;6.0;253.0;17;1704;170402
2026;5;Vila Real;Mesão Frio;Cidadelhe;Sódio;126.0;126.0;126.0;8820.0;17;1704;170402
2026;5;Vila Real;Mesão Frio;Oliveira;Outros/Não definido;1.0;1.0;1.0;;17;1704;170403
2026;5;Vila Real;Montalegre;Cervos;LED;346.0;346.0;346.0;10402.0;17;1706;170603
2026;5;Vila Real;Montalegre;Cervos;Sódio;2.0;2.0;2.0;140.0;17;1706;170603
2026;5;Vila Real;Montalegre;Ferral;Sódio;58.0;58.0;58.0;4060.0;17;1706;170609
2026;5;Vila Real;Montalegre;Gralhas;Sódio;1.0;1.0;1.0;70.0;17;1706;170612
2026;5;Vila Real;Montalegre;Morgade;LED;235.0;235.0;235.0;7729.400001525879;17;1706;170616
2026;5;Vila Real;Montalegre;Salto;Outros/Não definido;12.0;12.0;12.0;;17;1706;170626
2026;5;Vila Real;Montalegre;Salto;Sódio;4.0;4.0;4.0;280.0;17;1706;170626
2026;5;Vila Real;Montalegre;Sarraquinhos;LED;301.0;301.0;301.0;9317.0;17;1706;170629
2026;5;Vila Real;Montalegre;Vila da Ponte;LED;186.0;186.0;186.0;5805.0;17;1706;170635
2026;5;Vila Real;Montalegre;Cambeses do Rio, Donões e Mourilhe;LED;395.0;395.0;395.0;11841.400001525879;17;1706;170636
